"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"1","Shoah",1,"-1985","PG","566 min","Documentary, History, War",8.7,99,"Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.","Director:
Claude Lanzmann
                 | 
    Stars:
Simon Srebnik, 
Michael Podchlebnik, 
Motke Zaïdl, 
Hanna Zaïdl","9,984","$0.02M"
"2","Home",2,"(I) (2009)","U","118 min","Documentary",8.5,47,"With aerial footage from fifty-four countries, 'Home' is a depiction of how Earth's problems are all interlinked.","Director:
Yann Arthus-Bertrand
                 | 
    Stars:
Yann Arthus-Bertrand, 
Glenn Close, 
Jacques Gamblin","",""
"3","Untouchable",3,"-2011","15","112 min","Biography, Comedy, Drama",8.5,57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Directors:
Olivier Nakache, 
Éric Toledano
                 | 
    Stars:
François Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot","",""
"4","Le Trou",4,"-1960","A","131 min","Crime, Drama, Thriller",8.5,NA,"Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.","Director:
Jacques Becker
                 | 
    Stars:
André Bervil, 
Jean Keraudy, 
Michel Constantin, 
Philippe Leroy","",""
"5","The Man Who Planted Trees",5,"-1987","","30 min","Animation, Short, Drama",8.5,NA,"The story of a shepherd's single handed quest to re-forest a barren valley.","Director:
Frédéric Back
                 | 
    Stars:
Philippe Noiret, 
Christopher Plummer","",""
"6","Children of Paradise",6,"-1945","A","189 min","Drama, Romance",8.3,96,"The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.","Director:
Marcel Carné
                 | 
    Stars:
Arletty, 
Jean-Louis Barrault, 
Pierre Brasseur, 
Pierre Renoir","",""
"7","Amélie",7,"-2001","15","122 min","Comedy, Romance",8.3,69,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Director:
Jean-Pierre Jeunet
                 | 
    Stars:
Audrey Tautou, 
Mathieu Kassovitz, 
Rufus, 
Lorella Cravotta","",""
"8","Incendies",8,"-2010","15","131 min","Drama, Mystery, War",8.3,80,"Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.","Director:
Denis Villeneuve
                 | 
    Stars:
Lubna Azabal, 
Mélissa Désormeaux-Poulin, 
Maxim Gaudette, 
Mustafa Kamel","",""
"9","La Jetée",9,"-1962","A","28 min","Short, Drama, Romance",8.2,NA,"The story of a man forced to explore his memories in the wake of World War III's devastation, told through still images.","Director:
Chris Marker
                 | 
    Stars:
Étienne Becker, 
Jean Négroni, 
Hélène Chatelain, 
Davos Hanich","",""
"10","A Man Escaped",10,"-1956","U","101 min","Drama, Thriller, War",8.2,NA,"A captured French Resistance fighter during WWII engineers a daunting escape from a Nazi prison in France.","Director:
Robert Bresson
                 | 
    Stars:
François Leterrier, 
Charles Le Clainche, 
Maurice Beerblock, 
Roland Monod","",""
"11","A Trip to the Moon",11,"-1902","U","13 min","Short, Action, Adventure",8.2,NA,"A group of astronomers go on an expedition to the Moon.","Director:
Georges Méliès
                 | 
    Stars:
Georges Méliès, 
Victor André, 
Bleuette Bernon, 
Brunnet","",""
"12","Z",12,"-1969","A","127 min","Crime, Drama, Thriller",8.2,86,"The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.","Director:
Costa-Gavras
                 | 
    Stars:
Yves Montand, 
Irene Papas, 
Jean-Louis Trintignant, 
François Périer","",""
"13","Army of Shadows",13,"-1969","AA","145 min","Drama, War",8.1,99,"An account of underground resistance fighters in Nazi-occupied France.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Lino Ventura, 
Paul Meurisse, 
Jean-Pierre Cassel, 
Simone Signoret","",""
"14","La haine",14,"-1995","15","98 min","Crime, Drama",8.1,NA,"24 hours in the lives of three young men in the French suburbs the day after a violent riot.","Director:
Mathieu Kassovitz
                 | 
    Stars:
Vincent Cassel, 
Hubert Koundé, 
Saïd Taghmaoui, 
Abdel Ahmed Ghili","",""
"15","The 400 Blows",15,"-1959","A","99 min","Crime, Drama",8.1,NA,"A young boy, left without attention, delves into a life of petty crime.","Director:
François Truffaut
                 | 
    Stars:
Jean-Pierre Léaud, 
Albert Rémy, 
Claire Maurier, 
Guy Decomble","",""
