"","region","state","age","sex","maritl","educ","race","status","work","hours","hourrt","earnings"
"1",3,1,22,"Male",6,"High school",1,1,1,40,14,560
"2",3,1,50,"Female",1,"Bachelor's degree",1,1,1,30,42,1260
"3",3,1,55,"Male",5,"No high school",1,2,2,40,20,800
"4",3,1,52,"Male",5,"High school",1,1,1,40,27.58,1103.2
"5",3,1,59,"Male",1,"Associate degree",1,1,1,40,40,1600
"6",3,1,57,"Female",1,"Associate degree",1,1,1,40,21,840
"7",3,1,22,"Male",6,"High school",1,1,1,20,14,280
"8",3,1,38,"Male",1,"Bachelor's degree",2,1,1,30,1,30
"9",3,1,24,"Male",6,"Bachelor's degree",2,1,1,40,10,400
"10",1,9,16,"Female",6,"No high school",1,1,1,12,14,168
"11",1,9,61,"Female",1,"High school",1,1,1,10,35,350
"12",1,9,63,"Male",1,"Bachelor's degree",1,1,1,25,15,406
"13",1,9,56,"Female",1,"High school",1,1,1,40,23,920
"14",1,9,61,"Female",1,"Bachelor's degree",1,1,1,35,21.21,742.35
"15",1,9,38,"Female",6,"Bachelor's degree",1,1,1,40,27,1080
"16",3,10,17,"Male",6,"No high school",2,1,1,10,10,100
"17",3,10,19,"Female",6,"High school",2,1,1,30,17,510
"18",3,10,61,"Female",1,"High school",1,1,1,40,20,800
"19",3,10,28,"Female",1,"High school",1,1,1,36,11.75,423
"20",3,10,42,"Female",1,"High school",2,1,1,40,18.5,740
"21",3,10,20,"Female",6,"High school",6,1,1,20,15,300
"22",3,12,66,"Female",1,"Bachelor's degree",1,1,1,10,72,720
"23",3,12,40,"Female",4,"High school",1,1,1,40,25.9,1036
"24",3,12,58,"Female",1,"Bachelor's degree",1,1,1,20,35,700
"25",3,12,59,"Female",6,"Bachelor's degree",1,1,1,40,27,1080
"26",3,12,56,"Male",5,"Associate degree",1,1,1,40,17.5,700
"27",3,12,18,"Female",6,"High school",1,1,1,25,19.65,506.25
"28",3,12,42,"Male",6,"No high school",1,1,1,40,12,480
"29",3,12,32,"Female",6,"No high school",1,1,1,40,11.5,460
"30",3,12,24,"Male",6,"No high school",1,1,1,40,11.5,460
"31",3,12,56,"Male",1,"High school",1,1,1,40,17,680
"32",3,12,62,"Male",4,"High school",1,1,1,40,19,760
"33",3,12,34,"Male",6,"Associate degree",2,1,1,40,24,960
"34",3,12,23,"Female",6,"Associate degree",2,1,1,40,13.5,540
"35",3,12,69,"Female",1,"Bachelor's degree",1,1,1,20,11.5,230
"36",3,12,48,"Male",1,"High school",1,1,1,40,18.5,740
"37",3,12,51,"Female",4,"Bachelor's degree",1,1,1,28,15,420
"38",3,12,31,"Male",6,"No high school",1,1,1,40,17,680
"39",3,12,25,"Male",6,"No high school",1,1,1,40,17,680
"40",3,12,25,"Male",6,"No high school",1,1,1,40,17,680
"41",3,12,41,"Female",6,"High school",1,1,1,40,22.15,886
"42",3,12,37,"Female",1,"Bachelor's degree",1,1,1,40,12,480
"43",3,12,43,"Male",1,"Bachelor's degree",1,1,1,40,20,800
"44",3,12,35,"Male",6,"High school",3,1,1,40,15,600
"45",3,12,52,"Female",6,"High school",1,1,1,5,15,75
"46",3,12,30,"Female",6,"Associate degree",1,1,1,40,25,1000
"47",3,12,66,"Male",4,"Associate degree",1,1,1,40,20.3,812
"48",3,12,56,"Male",6,"High school",1,1,1,40,22,880
"49",3,12,30,"Male",1,"High school",1,1,1,40,21.5,1280
"50",3,12,40,"Female",1,"Associate degree",1,1,1,40,28,1800
"51",3,12,28,"Male",6,"High school",1,1,1,35,18,1050
"52",3,12,21,"Male",6,"High school",6,1,1,40,11,440
"53",3,12,60,"Male",1,"High school",1,1,1,40,12.5,500
